x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
6.416666666666667740e-02,1.874999999999999931e-03,2.938306172217237133e+01,1.000000000000000036e-10,1.153575078054435148e-04,7.772045077664414567e-06
6.583333333333334092e-02,1.874999999999999931e-03,2.751833379481818298e+01,1.000000000000000036e-10,1.087621915305515775e-04,7.007774705221264585e-06
6.750000000000000444e-02,1.874999999999999931e-03,2.575765533782065120e+01,1.000000000000000036e-10,1.028833725526648085e-04,6.206983140080808074e-06
6.916666666666666796e-02,1.874999999999999931e-03,2.408888804306268838e+01,1.000000000000000036e-10,9.772489807483524362e-05,5.417454289897419445e-06
7.083333333333333148e-02,1.874999999999999931e-03,2.250015873532614208e+01,1.000000000000000036e-10,9.325806357875287905e-05,4.669959744356333050e-06
7.250000000000000888e-02,1.874999999999999931e-03,2.098028592377092494e+01,1.000000000000000036e-10,8.943358194337904703e-05,3.983238755963752726e-06
7.416666666666667240e-02,1.874999999999999931e-03,1.951903933721350626e+01,1.000000000000000036e-10,8.619044884349892112e-05,3.367034913408559595e-06
7.583333333333333592e-02,1.874999999999999931e-03,1.810727096232096045e+01,1.000000000000000036e-10,8.346270122132777016e-05,2.824407008829154222e-06
7.749999999999999944e-02,1.874999999999999931e-03,1.673694929650257990e+01,1.000000000000000036e-10,8.118435918441872649e-05,2.353705458681787102e-06
7.916666666666667684e-02,1.874999999999999931e-03,1.540112565617366869e+01,1.000000000000000036e-10,7.929275777929612552e-05,1.950241397147607042e-06
8.083333333333334036e-02,1.874999999999999931e-03,1.409385737052604171e+01,1.000000000000000036e-10,7.773054647921837979e-05,1.607608198597105244e-06
8.250000000000000389e-02,1.874999999999999931e-03,1.281010744019972236e+01,1.000000000000000036e-10,7.644667619148846948e-05,1.318651704266713211e-06
8.416666666666666741e-02,1.874999999999999931e-03,1.154563483080975850e+01,1.000000000000000036e-10,7.539667826046369766e-05,1.076128673842333495e-06
8.583333333333334481e-02,1.874999999999999931e-03,1.029688483151759826e+01,1.000000000000000036e-10,7.454248945964483085e-05,8.731152141472618416e-07
8.750000000000000833e-02,1.874999999999999931e-03,9.060885182154930106e+00,1.000000000000000036e-10,7.385201604293917732e-05,7.032297575532452306e-07
8.916666666666667185e-02,1.874999999999999931e-03,7.835150963419625469e+00,1.000000000000000036e-10,7.329857358089210797e-05,5.607270139283214649e-07
9.083333333333333537e-02,1.874999999999999931e-03,6.617599396125192435e+00,1.000000000000000036e-10,7.286029374602986399e-05,4.405072151639543715e-07
9.250000000000001277e-02,1.874999999999999931e-03,5.406474505218629822e+00,1.000000000000000036e-10,7.251955536986386813e-05,3.380729712869977779e-07
