x_m,pressure_Pa,radius_m,velocity_m_s,flow_m3_s
1.020066889632107038e-01,4.019151766237912398e+03,2.040191517662379335e-03,5.051270424344795895e-01,6.605297264849690429e-06
1.036789297658862880e-01,4.002914337214961961e+03,2.040029143372149717e-03,5.052074559024907208e-01,6.605297264849690429e-06
1.053511705685618721e-01,3.986671741718342673e+03,2.039866717417183374e-03,5.052879141694726073e-01,6.605297264849690429e-06
1.070234113712374563e-01,3.970423975896309912e+03,2.039704239758963374e-03,5.053684172789720819e-01,6.605297264849690429e-06
1.086956521739130405e-01,3.954171035894370561e+03,2.039541710358943726e-03,5.054489652745890460e-01,6.605297264849690429e-06
1.103678929765886246e-01,3.937912917855282558e+03,2.039379129178552855e-03,5.055295581999736942e-01,6.605297264849690429e-06
1.120401337792642088e-01,3.921649617919051252e+03,2.039216496179190562e-03,5.056101960988289568e-01,6.605297264849690429e-06
1.137123745819397930e-01,3.905381132222927590e+03,2.039053811322229324e-03,5.056908790149098332e-01,6.605297264849690429e-06
1.153846153846153771e-01,3.889107456901406749e+03,2.038891074569014299e-03,5.057716069920235036e-01,6.605297264849690429e-06
1.170568561872909613e-01,3.872828588086224499e+03,2.038728285880862454e-03,5.058523800740292176e-01,6.605297264849690429e-06
1.187290969899665594e-01,3.856544521906357204e+03,2.038565445219063434e-03,5.059331983048387382e-01,6.605297264849690429e-06
1.204013377926421435e-01,3.840255254488017727e+03,2.038402552544879998e-03,5.060140617284156761e-01,6.605297264849690429e-06
1.220735785953177277e-01,3.823960781954655886e+03,2.038239607819546714e-03,5.060949703887762663e-01,6.605297264849690429e-06
1.237458193979933119e-01,3.807661100426952544e+03,2.038076611004269525e-03,5.061759243299895905e-01,6.605297264849690429e-06
1.254180602006688960e-01,3.791356206022821425e+03,2.037913562060228358e-03,5.062569235961771330e-01,6.605297264849690429e-06
1.270903010033444802e-01,3.775046094857405478e+03,2.037750460948574080e-03,5.063379682315130026e-01,6.605297264849690429e-06
1.287625418060200644e-01,3.758730763043073694e+03,2.037587307630430670e-03,5.064190582802238216e-01,6.605297264849690429e-06
1.304347826086956486e-01,3.742410206689420193e+03,2.037424102066894352e-03,5.065001937865891701e-01,6.605297264849690429e-06
1.321070234113712327e-01,3.726084421903263319e+03,2.037260844219032727e-03,5.065813747949418078e-01,6.605297264849690429e-06
1.337792642140468169e-01,3.709753404788640182e+03,2.037097534047886509e-03,5.066626013496670078e-01,6.605297264849690429e-06
1.354515050167224011e-01,3.693417151446808020e+03,2.036934171514468220e-03,5.067438734952033341e-01,6.605297264849690429e-06
1.371237458193979852e-01,3.677075657976240109e+03,2.036770756579762628e-03,5.068251912760421973e-01,6.605297264849690429e-06
1.387959866220735694e-01,3.660728920472623940e+03,2.036607289204726313e-03,5.069065547367288538e-01,6.605297264849690429e-06
1.404682274247491536e-01,3.644376935028859862e+03,2.036443769350288532e-03,5.069879639218608514e-01,6.605297264849690429e-06
1.421404682274247377e-01,3.628019697735058344e+03,2.036280196977350351e-03,5.070694188760896948e-01,6.605297264849690429e-06
1.438127090301003219e-01,3.611657204678538619e+03,2.036116572046785516e-03,5.071509196441201794e-01,6.605297264849690429e-06
1.454849498327759061e-01,3.595289451943824588e+03,2.035952894519438283e-03,5.072324662707106135e-01,6.605297264849690429e-06
1.471571906354514903e-01,3.578916330120569455e+03,2.035789163301205979e-03,5.073140593264405807e-01,6.605297264849690429e-06
