x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
9.750000000000000333e-02,1.250000000000000026e-03,1.766763380549814411e+00,1.000000000000000036e-10,7.082078141413969624e-05,7.512309607355936656e-08
2.500000000000000052e-03,3.749999999999999861e-03,9.823699277425400567e+01,1.000000000000000036e-10,7.065684101466117436e-05,-2.185221845576278970e-07
7.499999999999999722e-03,3.749999999999999861e-03,9.469732312427987608e+01,1.000000000000000036e-10,7.125394320818470974e-05,-7.357905100920446319e-07
1.250000000000000069e-02,3.749999999999999861e-03,9.111159845343553343e+01,1.000000000000000036e-10,7.266774894796156482e-05,-1.517273173032265023e-06
1.750000000000000167e-02,3.749999999999999861e-03,8.743054822948371907e+01,1.000000000000000036e-10,7.540204001116833626e-05,-2.815852680996328314e-06
2.249999999999999917e-02,3.749999999999999861e-03,8.357139445231869956e+01,1.000000000000000036e-10,8.036825064642810572e-05,-4.979809505125273015e-06
2.750000000000000014e-02,3.749999999999999861e-03,7.939372316484090675e+01,1.000000000000000036e-10,8.901614473924821826e-05,-8.388655888775245961e-06
3.250000000000000111e-02,3.749999999999999861e-03,7.466977997839387626e+01,1.000000000000000036e-10,1.032518974181630069e-04,-1.309219729585293827e-05
3.749999999999999861e-02,3.749999999999999861e-03,6.906853342302460419e+01,1.000000000000000036e-10,1.244252493292857624e-04,-1.768481066757800375e-05
4.250000000000000305e-02,3.749999999999999861e-03,6.222725504546529862e+01,1.000000000000000036e-10,1.491392948519167636e-04,-1.675781965129516230e-05
4.750000000000000056e-02,3.749999999999999861e-03,5.415460393783292403e+01,1.000000000000000036e-10,1.638185898329663596e-04,-4.048959086188403560e-06
5.249999999999999806e-02,3.749999999999999861e-03,4.584539606216866048e+01,1.000000000000000036e-10,1.638185898329667120e-04,4.048959086188687316e-06
5.750000000000000250e-02,3.749999999999999861e-03,3.777274495453625036e+01,1.000000000000000036e-10,1.491392948519177394e-04,1.675781965129530460e-05
6.250000000000000000e-02,3.749999999999999861e-03,3.093146657697688440e+01,1.000000000000000036e-10,1.244252493292876598e-04,1.768481066757849842e-05
6.750000000000000444e-02,3.749999999999999861e-03,2.533022002160748087e+01,1.000000000000000036e-10,1.032518974181656632e-04,1.309219729585279597e-05
7.249999999999999500e-02,3.749999999999999861e-03,2.060627683516031539e+01,1.000000000000000036e-10,8.901614473925045443e-05,8.388655888775671171e-06
7.749999999999999944e-02,3.749999999999999861e-03,1.642860554768243375e+01,1.000000000000000036e-10,8.036825064643038255e-05,4.979809505125344166e-06
8.250000000000000389e-02,3.749999999999999861e-03,1.256945177051727569e+01,1.000000000000000036e-10,7.540204001117191412e-05,2.815852680995902256e-06
8.750000000000000833e-02,3.749999999999999861e-03,8.888401546565241063e+00,1.000000000000000036e-10,7.266774894796645728e-05,1.517273173031874117e-06
9.249999999999999889e-02,3.749999999999999861e-03,5.302676875720628402e+00,1.000000000000000036e-10,7.125394320819103877e-05,7.357905100917070893e-07
9.750000000000000333e-02,3.749999999999999861e-03,1.763007225746136442e+00,1.000000000000000036e-10,7.065684101466763892e-05,2.185221845581919150e-07
2.500000000000000052e-03,6.250000000000000347e-03,9.824416272867823352e+01,1.000000000000000036e-10,7.034362506680834500e-05,-3.418652839388868596e-07
7.499999999999999722e-03,6.250000000000000347e-03,9.472147476464093074e+01,1.000000000000000036e-10,7.082716751778475052e-05,-1.152769732961757948e-06
1.250000000000000069e-02,6.250000000000000347e-03,9.116144597689975626e+01,1.000000000000000036e-10,7.198267273980660046e-05,-2.384949431061044902e-06
1.750000000000000167e-02,6.250000000000000347e-03,8.752320749066026906e+01,1.000000000000000036e-10,7.425741598163836739e-05,-4.452693575485965501e-06
2.249999999999999917e-02,6.250000000000000347e-03,8.373570437873591743e+01,1.000000000000000036e-10,7.851483941228820066e-05,-7.954785643589729074e-06
2.750000000000000014e-02,6.250000000000000347e-03,7.967172354943144796e+01,1.000000000000000036e-10,8.628956546830436961e-05,-1.362498982473055864e-05
3.250000000000000111e-02,6.250000000000000347e-03,7.510674783190547998e+01,1.000000000000000036e-10,1.000606588194365469e-04,-2.185928637492309904e-05
3.749999999999999861e-02,6.250000000000000347e-03,6.966565766748779254e+01,1.000000000000000036e-10,1.230662570389867109e-04,-3.100719665384416555e-05
4.250000000000000305e-02,6.250000000000000347e-03,6.280012212800680516e+01,1.000000000000000036e-10,1.538026015649617462e-04,-3.116062868933098878e-05
4.750000000000000056e-02,6.250000000000000347e-03,5.428539751099161492e+01,1.000000000000000036e-10,1.708551963899683913e-04,-5.512094951180016657e-06
5.249999999999999806e-02,6.250000000000000347e-03,4.571460248900996248e+01,1.000000000000000036e-10,1.708551963899688250e-04,5.512094951180300413e-06
5.750000000000000250e-02,6.250000000000000347e-03,3.719987787199472962e+01,1.000000000000000036e-10,1.538026015649628846e-04,3.116062868933169351e-05
6.250000000000000000e-02,6.250000000000000347e-03,3.033434233251367118e+01,1.000000000000000036e-10,1.230662570389885811e-04,3.100719665384502613e-05
6.750000000000000444e-02,6.250000000000000347e-03,2.489325216809587005e+01,1.000000000000000036e-10,1.000606588194390947e-04,2.185928637492324134e-05
7.249999999999999500e-02,6.250000000000000347e-03,2.032827645056975996e+01,1.000000000000000036e-10,8.628956546830663288e-05,1.362498982473013343e-05
7.749999999999999944e-02,6.250000000000000347e-03,1.626429562126520523e+01,1.000000000000000036e-10,7.851483941229021998e-05,7.954785643589657923e-06
8.250000000000000389e-02,6.250000000000000347e-03,1.247679250934073636e+01,1.000000000000000036e-10,7.425741598164189105e-05,4.452693575485397142e-06
8.750000000000000833e-02,6.250000000000000347e-03,8.838554023101014678e+00,1.000000000000000036e-10,7.198267273981164200e-05,2.384949431060405392e-06
9.249999999999999889e-02,6.250000000000000347e-03,5.278525235359570189e+00,1.000000000000000036e-10,7.082716751779109311e-05,1.152769732961207164e-06
9.750000000000000333e-02,6.250000000000000347e-03,1.755837271321904813e+00,1.000000000000000036e-10,7.034362506681474179e-05,3.418652839385315822e-07
2.500000000000000052e-03,8.750000000000000833e-03,9.825408603845095001e+01,1.000000000000000036e-10,6.990952350621085860e-05,-4.334149130335161894e-07
7.499999999999999722e-03,8.750000000000000833e-03,9.475496161092796399e+01,1.000000000000000036e-10,7.023240113462363350e-05,-1.464430143562367283e-06
1.250000000000000069e-02,8.750000000000000833e-03,9.123084592498858569e+01,1.000000000000000036e-10,7.101778702669944146e-05,-3.043734577508416000e-06
1.750000000000000167e-02,8.750000000000000833e-03,8.765318290825801739e+01,1.000000000000000036e-10,7.261712190490397681e-05,-5.730947489055324221e-06
2.249999999999999917e-02,8.750000000000000833e-03,8.396913373449818607e+01,1.000000000000000036e-10,7.578210252180581042e-05,-1.038773375379520175e-05
2.750000000000000014e-02,8.750000000000000833e-03,8.007497265607743486e+01,1.000000000000000036e-10,8.206389437358153243e-05,-1.822030066842216477e-05
3.250000000000000111e-02,8.750000000000000833e-03,7.576274429714003134e+01,1.000000000000000036e-10,9.456079400360620679e-05,-3.039797202181119265e-05
3.749999999999999861e-02,8.750000000000000833e-03,7.061889325571681297e+01,1.000000000000000036e-10,1.197745781720818074e-04,-4.657820220096964541e-05
4.250000000000000305e-02,8.750000000000000833e-03,6.378528647993184819e+01,1.000000000000000036e-10,1.618868457032488330e-04,-5.201392917077611925e-05
4.750000000000000056e-02,8.750000000000000833e-03,5.443020868539192492e+01,1.000000000000000036e-10,1.821549516532219826e-04,-3.319144857224122056e-06
5.249999999999999806e-02,8.750000000000000833e-03,4.556979131460964538e+01,1.000000000000000036e-10,1.821549516532225519e-04,3.319144857224266476e-06
5.750000000000000250e-02,8.750000000000000833e-03,3.621471352006966526e+01,1.000000000000000036e-10,1.618868457032500798e-04,5.201392917077724411e-05
6.250000000000000000e-02,8.750000000000000833e-03,2.938110674428463298e+01,1.000000000000000036e-10,1.197745781720834337e-04,4.657820220097014686e-05
6.750000000000000444e-02,8.750000000000000833e-03,2.423725570286131870e+01,1.000000000000000036e-10,9.456079400360822612e-05,3.039797202181098259e-05
7.249999999999999500e-02,8.750000000000000833e-03,1.992502734392380859e+01,1.000000000000000036e-10,8.206389437358366018e-05,1.822030066842124320e-05
7.749999999999999944e-02,8.750000000000000833e-03,1.603086626550295080e+01,1.000000000000000036e-10,7.578210252180800593e-05,1.038773375379495103e-05
8.250000000000000389e-02,8.750000000000000833e-03,1.234681709174300579e+01,1.000000000000000036e-10,7.261712190490728362e-05,5.730947489055110769e-06
8.750000000000000833e-02,8.750000000000000833e-03,8.769154075012220773e+00,1.000000000000000036e-10,7.101778702670437458e-05,3.043734577507421584e-06
9.249999999999999889e-02,8.750000000000000833e-03,5.245038389072568030e+00,1.000000000000000036e-10,7.023240113463009805e-05,1.464430143561621047e-06
9.750000000000000333e-02,8.750000000000000833e-03,1.745913961549209859e+00,1.000000000000000036e-10,6.990952350621777039e-05,4.334149130324770388e-07
2.500000000000000052e-03,1.124999999999999958e-02,9.826583347432990934e+01,1.000000000000000036e-10,6.939470253851040549e-05,-4.839181910111278529e-07
7.499999999999999722e-03,1.124999999999999958e-02,9.479469627181904912e+01,1.000000000000000036e-10,6.952200768554731047e-05,-1.639018253307824410e-06
1.250000000000000069e-02,1.124999999999999958e-02,9.131363270577517710e+01,1.000000000000000036e-10,6.984941406706012771e-05,-3.425542604554152278e-06
1.750000000000000167e-02,1.124999999999999958e-02,8.780975486511303529e+01,1.000000000000000036e-10,7.058541639349497705e-05,-6.516808064326651948e-06
2.249999999999999917e-02,1.124999999999999958e-02,8.425509106642567758e+01,1.000000000000000036e-10,7.227016282260477530e-05,-1.202673670152904452e-05
2.750000000000000014e-02,1.124999999999999958e-02,8.058273858285255642e+01,1.000000000000000036e-10,7.628444633429636230e-05,-2.172933540242154960e-05
3.250000000000000111e-02,1.124999999999999958e-02,7.662664643299603995e+01,1.000000000000000036e-10,8.588170805316278620e-05,-3.793601796225600848e-05
3.749999999999999861e-02,1.124999999999999958e-02,7.199456777753627534e+01,1.000000000000000036e-10,1.122582784645042577e-04,-6.483533355043218658e-05
4.250000000000000305e-02,1.124999999999999958e-02,6.540081858654561131e+01,1.000000000000000036e-10,6.789842922552611325e-05,-3.263300696740733425e-05
