x_m,y_m,pressure_Pa,permeability_m2,velocity_x_m_s,velocity_y_m_s
7.583333333333333592e-02,1.874999999999999931e-03,1.918419254783820094e+01,1.000000000000000036e-10,8.644657689292850698e-05,2.333951122780035558e-06
7.749999999999999944e-02,1.874999999999999931e-03,1.776054353601548996e+01,1.000000000000000036e-10,8.456307829425772460e-05,1.946196823084562383e-06
7.916666666666667684e-02,1.874999999999999931e-03,1.636542327136294261e+01,1.000000000000000036e-10,8.299843291774538774e-05,1.613419062303762098e-06
8.083333333333334036e-02,1.874999999999999931e-03,1.499392910542397672e+01,1.000000000000000036e-10,8.170565128126473591e-05,1.330531386623832078e-06
8.250000000000000389e-02,1.874999999999999931e-03,1.364190156198745107e+01,1.000000000000000036e-10,8.064280205145299462e-05,1.091765266925648055e-06
8.416666666666666741e-02,1.874999999999999931e-03,1.230583570370887614e+01,1.000000000000000036e-10,7.977329016073350404e-05,8.912321345471239180e-07
8.583333333333334481e-02,1.874999999999999931e-03,1.098279188996299993e+01,1.000000000000000036e-10,7.906574617622724103e-05,7.232742403593305063e-07
8.750000000000000833e-02,1.874999999999999931e-03,9.670310831167967081e+00,1.000000000000000036e-10,7.849369003138124555e-05,5.826587752589062157e-07
8.916666666666667185e-02,1.874999999999999931e-03,8.366335555583624739e+00,1.000000000000000036e-10,7.803508477480434438e-05,4.646627096638411213e-07
9.083333333333333537e-02,1.874999999999999931e-03,7.069141338674488573e+00,1.000000000000000036e-10,7.767185769630041193e-05,3.650856129887358548e-07
9.250000000000001277e-02,1.874999999999999931e-03,5.777273632373610468e+00,1.000000000000000036e-10,7.738943773251583016e-05,2.802176600530969344e-07
9.416666666666667629e-02,1.874999999999999931e-03,4.489493414257293757e+00,1.000000000000000036e-10,7.717633816948055810e-05,2.067815624572233070e-07
9.583333333333333981e-02,1.874999999999999931e-03,3.204729026724257857e+00,1.000000000000000036e-10,7.702380050231909226e-05,1.418606316109993686e-07
9.750000000000000333e-02,1.874999999999999931e-03,1.922033397513323250e+00,1.000000000000000036e-10,7.692550710433507201e-05,8.282043040213514640e-08
9.916666666666666685e-02,1.874999999999999931e-03,6.405454565797545907e-01,1.000000000000000036e-10,7.687736562279231232e-05,2.722817130647480657e-08
8.333333333333333868e-04,3.125000000000000173e-03,9.935990655962265805e+01,1.000000000000000036e-10,7.682255760551070557e-05,-4.466986639556579516e-08
2.500000000000000052e-03,3.125000000000000173e-03,9.807934152019365115e+01,1.000000000000000036e-10,7.686841470526357490e-05,-1.358776712839926161e-07
4.166666666666666609e-03,3.125000000000000173e-03,9.679762606944720460e+01,1.000000000000000036e-10,7.696205887713344690e-05,-2.327565681184750465e-07
5.833333333333333599e-03,3.125000000000000173e-03,9.551393955762253540e+01,1.000000000000000036e-10,7.710742125063800166e-05,-3.393106564493563614e-07
7.500000000000000590e-03,3.125000000000000173e-03,9.422737869442593706e+01,1.000000000000000036e-10,7.731057735089065085e-05,-4.598803135257866326e-07
9.166666666666666713e-03,3.125000000000000173e-03,9.293692031259284647e+01,1.000000000000000036e-10,7.757996380171588297e-05,-5.992777704693706691e-07
1.083333333333333370e-02,3.125000000000000173e-03,9.164137990103540687e+01,1.000000000000000036e-10,7.792666972640372824e-05,-7.629203045740948931e-07
1.250000000000000069e-02,3.125000000000000173e-03,9.033936465504605451e+01,1.000000000000000036e-10,7.836480264507739331e-05,-9.569548117866587526e-07
1.416666666666666768e-02,3.125000000000000173e-03,8.902921981286615960e+01,1.000000000000000036e-10,7.891192521162080828e-05,-1.188362237373325586e-06
1.583333333333333467e-02,3.125000000000000173e-03,8.770896714799202698e+01,1.000000000000000036e-10,7.958955255217884349e-05,-1.465022631329588554e-06
1.750000000000000167e-02,3.125000000000000173e-03,8.637623472779353051e+01,1.000000000000000036e-10,8.042368870533393136e-05,-1.795710803046403779e-06
1.916666666666666866e-02,3.125000000000000173e-03,8.502817752448089550e+01,1.000000000000000036e-10,8.144536261864884340e-05,-2.189978207847502237e-06
2.083333333333333565e-02,3.125000000000000173e-03,8.366138930717190192e+01,1.000000000000000036e-10,8.269109670221352286e-05,-2.657859031115208058e-06
2.250000000000000264e-02,3.125000000000000173e-03,8.227180763440711075e+01,1.000000000000000036e-10,8.420320130287220538e-05,-3.209319337151441098e-06
2.416666666666666963e-02,3.125000000000000173e-03,8.085461593040949424e+01,1.000000000000000036e-10,8.602973494696781239e-05,-3.853352790786743135e-06
2.583333333333333662e-02,3.125000000000000173e-03,7.940414980284151625e+01,1.000000000000000036e-10,8.822390521790878133e-05,-4.596625329912739031e-06
2.750000000000000014e-02,3.125000000000000173e-03,7.791381908981253446e+01,1.000000000000000036e-10,9.084262138942675248e-05,-5.441600936687790465e-06
2.916666666666666713e-02,3.125000000000000173e-03,7.637606242319395733e+01,1.000000000000000036e-10,9.394388012536948086e-05,-6.384158447878006763e-06
3.083333333333333412e-02,3.125000000000000173e-03,7.478235641896688435e+01,1.000000000000000036e-10,9.758272939930717695e-05,-7.410827499725768496e-06
3.250000000000000111e-02,3.125000000000000173e-03,7.312330477655038408e+01,1.000000000000000036e-10,1.018057765239762833e-04,-8.495832723942270208e-06
3.416666666666667157e-02,3.125000000000000173e-03,7.138883053483434082e+01,1.000000000000000036e-10,1.066445246553092597e-04,-9.597846425430700995e-06
3.583333333333333509e-02,3.125000000000000173e-03,6.956848728804007465e+01,1.000000000000000036e-10,1.121077323879756944e-04,-1.065520746176445986e-05
3.750000000000000555e-02,3.125000000000000173e-03,6.765190612190181696e+01,1.000000000000000036e-10,1.181711398536486720e-04,-1.157622115051878828e-05
