x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
6.562500000000000278e-02,3.750000000000000078e-04,3.331329397271135804e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.687500000000000389e-02,3.750000000000000078e-04,3.331331264867247341e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.812500000000000500e-02,3.750000000000000078e-04,3.331333107555078641e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.937500000000000611e-02,3.750000000000000078e-04,3.331334926134411489e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.062500000000000722e-02,3.750000000000000078e-04,3.331336721339085329e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.187500000000000833e-02,3.750000000000000078e-04,3.331338493843909987e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.312499999999999556e-02,3.750000000000000078e-04,3.331340244270797371e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.437499999999999667e-02,3.750000000000000078e-04,3.331341973194236061e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.562499999999999778e-02,3.750000000000000078e-04,3.331343681146200311e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.687499999999999889e-02,3.750000000000000078e-04,3.331345368620484351e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.812500000000000000e-02,3.750000000000000078e-04,3.331347036076640507e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
7.937500000000000111e-02,3.750000000000000078e-04,3.331348683943437550e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.062500000000000222e-02,3.750000000000000078e-04,3.331350312621973444e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.187500000000000333e-02,3.750000000000000078e-04,3.331351922488444757e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.312500000000000444e-02,3.750000000000000078e-04,3.331353513896643790e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.437500000000000555e-02,3.750000000000000078e-04,3.331355087180153305e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.562500000000000666e-02,3.750000000000000078e-04,3.331356642654344000e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.687500000000000777e-02,3.750000000000000078e-04,3.331358180618120173e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.812499999999999500e-02,3.750000000000000078e-04,3.331359701355493144e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.937499999999999611e-02,3.750000000000000078e-04,3.331361205136817034e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.062499999999999722e-02,3.750000000000000078e-04,3.331362692219172459e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.187499999999999833e-02,3.750000000000000078e-04,3.331364162842502310e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.312499999999999944e-02,3.750000000000000078e-04,3.331365617202378075e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.437500000000000056e-02,3.750000000000000078e-04,3.331367055291566430e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.562500000000000167e-02,3.750000000000000078e-04,3.331368476003315209e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.687500000000000278e-02,3.750000000000000078e-04,3.331369872107651418e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.812500000000000389e-02,3.750000000000000078e-04,3.331371202876977122e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.937500000000000500e-02,3.750000000000000078e-04,3.331372260119155158e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000130e-04,6.250000000000000130e-04,3.329809408914346704e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-03,6.250000000000000130e-04,3.330284386792135365e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000173e-03,6.250000000000000130e-04,3.330531296428423502e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-03,6.250000000000000130e-04,3.330661669830894880e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.624999999999999792e-03,6.250000000000000130e-04,3.330742195038676527e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000035e-03,6.250000000000000130e-04,3.330798601861587258e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-03,6.250000000000000130e-04,3.330841418356503709e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.374999999999999653e-03,6.250000000000000130e-04,3.330875617180504378e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.062500000000000076e-02,6.250000000000000130e-04,3.330903889161439793e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.187500000000000014e-02,6.250000000000000130e-04,3.330927850080707344e+02,2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
