x_m,y_m,velocity_m_s,fluid_mask
7.604166666666667060e-03,5.208333333333333261e-04,7.718117226349491267e-04,1.000000000000000000e+00
7.812500000000000000e-03,5.208333333333333261e-04,7.584476223243493721e-04,1.000000000000000000e+00
8.020833333333334675e-03,5.208333333333333261e-04,7.394418120630449247e-04,1.000000000000000000e+00
8.229166666666667615e-03,5.208333333333333261e-04,7.139194311004562563e-04,1.000000000000000000e+00
8.437500000000000555e-03,5.208333333333333261e-04,6.809004995920869005e-04,1.000000000000000000e+00
8.645833333333333495e-03,5.208333333333333261e-04,6.392467625012919225e-04,1.000000000000000000e+00
8.854166666666666435e-03,5.208333333333333261e-04,5.875818502226730789e-04,1.000000000000000000e+00
9.062500000000001110e-03,5.208333333333333261e-04,5.241686561247179115e-04,1.000000000000000000e+00
9.270833333333334050e-03,5.208333333333333261e-04,4.467161146712416830e-04,1.000000000000000000e+00
9.479166666666666990e-03,5.208333333333333261e-04,3.520696448108774830e-04,1.000000000000000000e+00
9.687499999999999931e-03,5.208333333333333261e-04,2.357217860616245254e-04,1.000000000000000000e+00
9.895833333333334605e-03,5.208333333333333261e-04,9.110650403568680946e-05,1.000000000000000000e+00
1.041666666666666734e-04,7.291666666666666999e-04,1.114988365986276493e-04,1.000000000000000000e+00
3.125000000000000065e-04,7.291666666666666999e-04,2.951420702766974127e-04,1.000000000000000000e+00
5.208333333333333261e-04,7.291666666666666999e-04,4.467161146712417914e-04,1.000000000000000000e+00
7.291666666666666999e-04,7.291666666666666999e-04,5.720813096948961386e-04,1.000000000000000000e+00
9.375000000000000737e-04,7.291666666666666999e-04,6.757451158296615655e-04,1.000000000000000000e+00
1.145833333333333339e-03,7.291666666666666999e-04,7.611504755790036297e-04,1.000000000000000000e+00
1.354166666666666713e-03,7.291666666666666999e-04,8.309641749199513615e-04,1.000000000000000000e+00
1.562500000000000087e-03,7.291666666666666999e-04,8.873048393212074796e-04,1.000000000000000000e+00
1.770833333333333461e-03,7.291666666666666999e-04,9.319092753302468538e-04,1.000000000000000000e+00
1.979166666666666834e-03,7.291666666666666999e-04,9.662507073254756294e-04,1.000000000000000000e+00
2.187500000000000208e-03,7.291666666666666999e-04,9.916224452424797671e-04,1.000000000000000000e+00
2.395833333333333582e-03,7.291666666666666999e-04,1.009197085305121346e-03,1.000000000000000000e+00
2.604166666666666956e-03,7.291666666666666999e-04,1.020068022442815678e-03,1.000000000000000000e+00
2.812500000000000330e-03,7.291666666666666999e-04,1.025277599175695390e-03,1.000000000000000000e+00
3.020833333333333703e-03,7.291666666666666999e-04,1.025834596649481331e-03,1.000000000000000000e+00
3.229166666666667077e-03,7.291666666666666999e-04,1.022722800540085174e-03,1.000000000000000000e+00
3.437500000000000017e-03,7.291666666666666999e-04,1.016901866200407151e-03,1.000000000000000000e+00
3.645833333333333391e-03,7.291666666666666999e-04,1.009301502283824117e-03,1.000000000000000000e+00
3.854166666666666765e-03,7.291666666666666999e-04,1.000809934001230380e-03,1.000000000000000000e+00
4.062500000000000139e-03,7.291666666666666999e-04,9.922575540610065713e-04,1.000000000000000000e+00
4.270833333333333946e-03,7.291666666666666999e-04,9.843965514721754462e-04,1.000000000000000000e+00
4.479166666666666886e-03,7.291666666666666999e-04,9.778772249715533653e-04,1.000000000000000000e+00
4.687500000000000694e-03,7.291666666666666999e-04,9.732219577277302636e-04,1.000000000000000000e+00
4.895833333333333634e-03,7.291666666666666999e-04,9.707988506794414238e-04,1.000000000000000000e+00
5.104166666666666574e-03,7.291666666666666999e-04,9.707988506794414238e-04,1.000000000000000000e+00
5.312500000000000382e-03,7.291666666666666999e-04,9.732219577277298299e-04,1.000000000000000000e+00
5.520833333333333322e-03,7.291666666666666999e-04,9.778772249715524979e-04,1.000000000000000000e+00
