x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
6.437500000000000167e-02,3.625000000000000184e-03,3.054449732157441986e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
6.562500000000000278e-02,3.625000000000000184e-03,3.057302411557243431e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
6.687500000000000389e-02,3.625000000000000184e-03,3.060128820373120107e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
6.812500000000000500e-02,3.625000000000000184e-03,3.062928868684751933e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
6.937500000000000611e-02,3.625000000000000184e-03,3.065702505929542099e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.062500000000000722e-02,3.625000000000000184e-03,3.068449716437682468e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.187500000000000833e-02,3.625000000000000184e-03,3.071170515440200006e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.312499999999999556e-02,3.625000000000000184e-03,3.073864945500579324e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.437499999999999667e-02,3.625000000000000184e-03,3.076533073325613827e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.562499999999999778e-02,3.625000000000000184e-03,3.079174986915703016e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.687499999999999889e-02,3.625000000000000184e-03,3.081790793018935801e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.812500000000000000e-02,3.625000000000000184e-03,3.084380614856987108e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
7.937500000000000111e-02,3.625000000000000184e-03,3.086944590094216210e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.062500000000000222e-02,3.625000000000000184e-03,3.089482869024292313e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.187500000000000333e-02,3.625000000000000184e-03,3.091995612951422459e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.312500000000000444e-02,3.625000000000000184e-03,3.094482992745597585e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.437500000000000555e-02,3.625000000000000184e-03,3.096945187553482697e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.562500000000000666e-02,3.625000000000000184e-03,3.099382383648491555e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.687500000000000777e-02,3.625000000000000184e-03,3.101794773405298997e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.812499999999999500e-02,3.625000000000000184e-03,3.104182554385633921e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
8.937499999999999611e-02,3.625000000000000184e-03,3.106545928523557905e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.062499999999999722e-02,3.625000000000000184e-03,3.108885101399685595e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.187499999999999833e-02,3.625000000000000184e-03,3.111200281594908574e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.312499999999999944e-02,3.625000000000000184e-03,3.113491680115149620e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.437500000000000056e-02,3.625000000000000184e-03,3.115759509877829032e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.562500000000000167e-02,3.625000000000000184e-03,3.118003985145556953e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.687500000000000278e-02,3.625000000000000184e-03,3.120225313984355466e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.812500000000000389e-02,3.625000000000000184e-03,3.122423233016722861e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
9.937500000000000500e-02,3.625000000000000184e-03,3.124566439213110698e+02,5.999999999999999778e-01,7.471910112359550493e-03,1.000000000000000000e+00
6.250000000000000130e-04,3.874999999999999972e-03,2.931511952402647125e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
1.874999999999999931e-03,3.874999999999999972e-03,2.931565703464533499e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
3.125000000000000173e-03,3.874999999999999972e-03,2.931703911253790693e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
4.375000000000000416e-03,3.874999999999999972e-03,2.931973531597110423e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
5.624999999999999792e-03,3.874999999999999972e-03,2.932416924543256300e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
6.875000000000000035e-03,3.874999999999999972e-03,2.933066425184591139e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
8.125000000000000278e-03,3.874999999999999972e-03,2.933942397037180285e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
9.374999999999999653e-03,3.874999999999999972e-03,2.935053790282267414e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
1.062500000000000076e-02,3.874999999999999972e-03,2.936400043097675052e+02,5.999999999999999778e-01,7.322097378277154026e-03,1.000000000000000000e+00
