x_m,y_m,temperature_K,conductivity_W_mK,velocity_m_s,fluid_mask
2.624999999999999903e-02,6.250000000000000130e-04,3.325738445885880310e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000125e-02,6.250000000000000130e-04,3.325932935061443345e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,6.250000000000000130e-04,3.326107839601978640e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000222e-02,6.250000000000000130e-04,3.326266988799249020e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.624999999999999750e-02,6.250000000000000130e-04,3.326413292594839390e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.874999999999999972e-02,6.250000000000000130e-04,3.326548999397424495e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.125000000000000194e-02,6.250000000000000130e-04,3.326675869260091076e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.375000000000000416e-02,6.250000000000000130e-04,3.326795294192720007e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.624999999999999944e-02,6.250000000000000130e-04,3.326908384218634183e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.875000000000000167e-02,6.250000000000000130e-04,3.327016030475908792e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.125000000000000389e-02,6.250000000000000130e-04,3.327118952457491901e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.374999999999999917e-02,6.250000000000000130e-04,3.327217733984805932e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000139e-02,6.250000000000000130e-04,3.327312850980781036e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.875000000000000361e-02,6.250000000000000130e-04,3.327404693146650629e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.124999999999999889e-02,6.250000000000000130e-04,3.327493581025625531e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.375000000000000111e-02,6.250000000000000130e-04,3.327579779524255628e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.625000000000000333e-02,6.250000000000000130e-04,3.327663508681517328e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.875000000000000555e-02,6.250000000000000130e-04,3.327744952279136896e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.125000000000000777e-02,6.250000000000000130e-04,3.327824264746492418e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.374999999999999611e-02,6.250000000000000130e-04,3.327901576710352742e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.624999999999999833e-02,6.250000000000000130e-04,3.327976999463231778e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.875000000000000056e-02,6.250000000000000130e-04,3.328050628565927127e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.125000000000000278e-02,6.250000000000000130e-04,3.328122546755112694e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.375000000000000500e-02,6.250000000000000130e-04,3.328192826291908091e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.625000000000000722e-02,6.250000000000000130e-04,3.328261530858219430e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.874999999999999556e-02,6.250000000000000130e-04,3.328328717051449530e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.124999999999999778e-02,6.250000000000000130e-04,3.328394434899123553e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.375000000000000000e-02,6.250000000000000130e-04,3.328458716008864826e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.625000000000000222e-02,6.250000000000000130e-04,3.328521351408294890e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.875000000000000444e-02,6.250000000000000130e-04,3.328578286436954841e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000026e-03,8.750000000000000182e-04,3.307185971118059342e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.749999999999999861e-03,8.750000000000000182e-04,3.314828370530665893e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000347e-03,8.750000000000000182e-04,3.317821714361956538e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000833e-03,8.750000000000000182e-04,3.319433912252309256e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.124999999999999958e-02,8.750000000000000182e-04,3.320495548184874792e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000007e-02,8.750000000000000182e-04,3.321271747300305606e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000056e-02,8.750000000000000182e-04,3.321875757698139751e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.874999999999999931e-02,8.750000000000000182e-04,3.322365904903062983e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.125000000000000153e-02,8.750000000000000182e-04,3.322776011279122486e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.375000000000000028e-02,8.750000000000000182e-04,3.323127360134301966e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.624999999999999903e-02,8.750000000000000182e-04,3.323434170546913720e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000125e-02,8.750000000000000182e-04,3.323706383307874148e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.125000000000000000e-02,8.750000000000000182e-04,3.323951196043346386e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.375000000000000222e-02,8.750000000000000182e-04,3.324173964173113518e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.624999999999999750e-02,8.750000000000000182e-04,3.324378758004362453e+02,1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
